film,speaker_gender,dialogue,word_count_corrected,director,director_gender,speaker_role
THE SECRET AGENT,MALE,"DAMN MONGRELS, BEAT IT!",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,OUTTA HERE!,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,WHAT THE HECK.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,THANKS.,1,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,GOODBYE.,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,AT LAST.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,THANK YOU.,2,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,HE'S BEEN THERE SINCE SUNDAY.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,YOU AIN'T TOO SOON.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,WE DIDN'T EVEN KNOW ABOUT THAT ONE.,7,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,MEANWHILE I'M IN THIS MISERY.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"MORNING, SIR.",2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,MORNING.,1,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,"LICENSE AND REGISTRATION, PLEASE.",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,SO YOU'RE NOT HERE ABOUT THE BODY?,7,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"NOT AT ALL,",3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,MY PARTNER ASKED TO PULL UP TO CHECK,8,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,THE YELLOW BEETLE.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,CAN YOU SHOW ME,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"YOUR FIRE EXTINGUISHER, PLEASE?",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"WOULD YOU STEP OUT OF THE CAR, SIR?",8,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,WHY?,1,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,I NEED TO GET INSIDE YOUR CAR.,7,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,YOU CAN TRUST ME.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,YOU REALLY NEED TO DO THAT?,6,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,I DO.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"PLEASE, STEP OUT.",3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"WAIT HERE, WOULD YOU?",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,FIRE EXTINGUISHER IS GOOD.,4,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,YEAH...,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,SO IT IS.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,NO DRUGS IN THE CAR?,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,YOU DON'T SMOKE POT?,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,NO.,1,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,A GUN?,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,I DON'T CARRY A GUN.,5,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,FEMALE,"KEEP GOING, DON'T STOP.",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,NOBODY WANTS TO STOP.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,ISN'T THIS SPARE A BIT BALD?,6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,THAT'S A GOOD SPARE.,4,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,ALL RIGHT THEN.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"LISTEN, SIR...",2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,WOULD YOU...,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,MAKE A DONATION,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,TO THE FORCE'S CARNIVAL FUND?,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,CAPTAIN...,1,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,"NOT CAPTAIN, I'M A SERGEANT.",5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,SERGEANT.,1,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,I'VE BEEN DRIVING FOR THREE DAYS.,6,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,I JUST SPENT ALL I HAD LEFT ON GAS.,9,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,"IF YOU WANT, THOUGH...",4,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,YOU CAN HAVE SOME OF THESE.,6,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,CIGARETTES.,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,CAN I KEEP 'EM?,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,SURE THING.,2,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,SCRAM!,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,GET THE HELL OUTTA HERE.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,BEAT IT!,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,SHOO!,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,GODDAMN MANGY CURS.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,FROM PERNAMBUCO TO THE WORLD.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
